Sitio,Rock,Sand,Live coral,Algae,Dead coral,Rubble,Small shelter,Medium shelter,Large shelter,Rugosity,Profundidad
T1,0.0137706,0.0531493,0.4879197,0,0.0061232,0.4390372,0.055555556,0.277777778,0.666666667,0.301360427,Deep
T2,0.0247202,0.0321475,0.58956,0.0045845,0.0420196,0.3064619,0,0.470588235,0.529411765,0.239366282,Deep
T3,0.0005163,0.0345113,0.6210507,0.0104536,0,0.3334681,0,0.5,0.5,0.261236439,Deep
T4,0,0,0.3854444,0,0,0.6145556,0,0.5,0.5,0.198036852,Deep
T5,0,0,0.8459591,0.0076925,0.0638368,0.0825116,0,0.25,0.75,0.266666667,Intermediate
T6,0.0107782,0,0.9671309,0,0.0004543,0.0214655,0,0.285714286,0.714285714,0.237209302,Intermediate
T7,0.0064679,0.0047602,0.8861095,0.0141004,0.0007204,0.0878416,0.125,0.125,0.75,0.248062016,Intermediate
T8,0,0,0.9305698,0.0004005,0.0027941,0.0662356,0,0,1,0.248062016,Intermediate
T9,0.001534375,0,0.941985,0.01582025,0.0043255,0.036334875,0.25,0.25,0.5,0.277227723,Shallow
T10,0,0,0.947468375,0.004434375,0.026261125,0.021836125,0,0.333333333,0.666666667,0.219471947,Shallow
T11,0,0,0.978759,0.01424075,0,0.00700025,0,0,1,0.252475248,Shallow
T12,0,0,0.986612875,0.006935,0.004238125,0.002214,0.5,0,0.5,0.250825083,Shallow
T13,0.0192339,0.0989366,0.3195915,0.0253418,0.0036583,0.5324686,0.181818182,0.5,0.318181818,0.28125,Deep
T14,0.0214629,0.1307424,0.3452534,0.001247,0.0167644,0.4814404,0.230769231,0.538461538,0.230769231,0.28125,Deep
T15,0.0073335,0.0474846,0.3380226,0.0233615,0.0016971,0.5789066,0,0.5,0.5,0.1875,Deep
T16,0,0.012176,0.4408559,0.0677187,0.0063997,0.4727807,0.232142857,0.392857143,0.375,0.25,Deep
T17,0.0106124,0.0583771,0.4177416,0.0015262,0.1046299,0.4065257,0.153846154,0.615384615,0.230769231,0.25,Intermediate
T18,0,0.0053393,0.5685643,0.056483,0.0137635,0.3554144,0.242424242,0.424242424,0.333333333,0.25,Intermediate
T19,0,0.0032191,0.3725724,0.1428519,0.0123155,0.465877,0,0.2,0.8,0.25,Intermediate
T20,0.010258556,0.007568111,0.454219889,0.123398889,0,0.402134333,0.074074074,0.518518519,0.407407407,0.25,Intermediate
T21,0.0012275,0,0.9361495,0.0153991,0.0033847,0.0438392,0,0.4,0.6,0.258566978,Shallow
T22,0,0,0.9555559,0.006054,0.0154606,0.0227362,0.071428571,0.357142857,0.571428571,0.274143302,Shallow
T23,0,0.0009323,0.8922279,0.0094416,0.0239153,0.0720129,0.111111111,0,0.888888889,0.242990654,Shallow
T24,0,0.00088925,0.936939125,0.0293035,0.016657875,0.01621025,0.058823529,0.352941176,0.588235294,0.224299065,Shallow
T25,0.0025058,0.113536,0.425838,0.014947,0.0088313,0.4331496,0.333333333,0.444444444,0.222222222,0.326045263,Deep
T26,0.0088818,0.028638,0.1586405,0.0186534,0.0095704,0.7753381,0.166666667,0.833333333,0,0.187955504,Deep
T27,0.0045973,0.0039319,0.3735332,0.0391728,0.0220283,0.5567365,0.181818182,0.515151515,0.303030303,0.351745301,Deep
T28,0,0.0058935,0.9019836,0.0295522,0.0048504,0.0558143,0.133333333,0.266666667,0.6,0.134253932,Deep
T29,0,0,0.4917841,0.1413111,0.0902558,0.2757729,0.288135593,0.389830508,0.322033898,0.283076923,Intermediate
T30,0,0,0.111317,0.0658095,0.535499,0.287097,0.444444444,0.333333333,0.222222222,0.224615385,Intermediate
T31,0,0,0.77000175,0.01241025,0.07237225,0.14521575,0,0,1,0.246153846,Intermediate
T32,0,0,0.989611833,0,0.000204167,0.010184,0.285714286,0.142857143,0.571428571,0.246153846,Intermediate
T33,0,0,0.9387622,0.0091596,0.0410828,0.0109954,0.333333333,0.166666667,0.5,0.298245614,Shallow
T34,0,0,0.9876785,0.0096055,0.002716,0,0,1,0,0.157894737,Shallow
T35,0,0,1,0,0,0,0,0,0,0.263157895,Shallow
T36,0,0,0.97322575,0.01387,0.00847625,0.004428,0.4,0,0.6,0.280701754,Shallow
