transecto,profundidad,especie,talla,abundancia
T1,Deep,S. acapulcoensis,1,0
T2,Deep,S. acapulcoensis,1,0
T3,Deep,S. acapulcoensis,1,0
T4,Deep,S. acapulcoensis,1,0
T5,Deep,S. acapulcoensis,1,0
T6,Deep,S. acapulcoensis,1,0
T7,Deep,S. acapulcoensis,1,0
T8,Deep,S. acapulcoensis,1,0
T9,Deep,S. acapulcoensis,1,1
T10,Deep,S. acapulcoensis,1,0
T11,Deep,S. acapulcoensis,1,0
T12,Deep,S. acapulcoensis,1,4
T13,Intermediate,S. acapulcoensis,1,0
T14,Intermediate,S. acapulcoensis,1,0
T15,Intermediate,S. acapulcoensis,1,0
T16,Intermediate,S. acapulcoensis,1,0
T17,Intermediate,S. acapulcoensis,1,1
T18,Intermediate,S. acapulcoensis,1,0
T19,Intermediate,S. acapulcoensis,1,0
T20,Intermediate,S. acapulcoensis,1,2
T21,Intermediate,S. acapulcoensis,1,1
T22,Intermediate,S. acapulcoensis,1,0
T23,Intermediate,S. acapulcoensis,1,0
T24,Intermediate,S. acapulcoensis,1,1
T25,Shallow,S. acapulcoensis,1,0
T26,Shallow,S. acapulcoensis,1,0
T27,Shallow,S. acapulcoensis,1,0
T28,Shallow,S. acapulcoensis,1,0
T29,Shallow,S. acapulcoensis,1,0
T30,Shallow,S. acapulcoensis,1,0
T31,Shallow,S. acapulcoensis,1,0
T32,Shallow,S. acapulcoensis,1,0
T33,Shallow,S. acapulcoensis,1,0
T34,Shallow,S. acapulcoensis,1,0
T35,Shallow,S. acapulcoensis,1,0
T36,Shallow,S. acapulcoensis,1,0
T1,Deep,S. acapulcoensis,2,0
T2,Deep,S. acapulcoensis,2,0
T3,Deep,S. acapulcoensis,2,0
T4,Deep,S. acapulcoensis,2,1
T5,Deep,S. acapulcoensis,2,0
T6,Deep,S. acapulcoensis,2,0
T7,Deep,S. acapulcoensis,2,0
T8,Deep,S. acapulcoensis,2,2
T9,Deep,S. acapulcoensis,2,1
T10,Deep,S. acapulcoensis,2,2
T11,Deep,S. acapulcoensis,2,6
T12,Deep,S. acapulcoensis,2,0
T13,Intermediate,S. acapulcoensis,2,0
T14,Intermediate,S. acapulcoensis,2,1
T15,Intermediate,S. acapulcoensis,2,0
T16,Intermediate,S. acapulcoensis,2,0
T17,Intermediate,S. acapulcoensis,2,0
T18,Intermediate,S. acapulcoensis,2,0
T19,Intermediate,S. acapulcoensis,2,0
T20,Intermediate,S. acapulcoensis,2,0
T21,Intermediate,S. acapulcoensis,2,0
T22,Intermediate,S. acapulcoensis,2,0
T23,Intermediate,S. acapulcoensis,2,0
T24,Intermediate,S. acapulcoensis,2,3
T25,Shallow,S. acapulcoensis,2,0
T26,Shallow,S. acapulcoensis,2,0
T27,Shallow,S. acapulcoensis,2,0
T28,Shallow,S. acapulcoensis,2,0
T29,Shallow,S. acapulcoensis,2,1
T30,Shallow,S. acapulcoensis,2,1
T31,Shallow,S. acapulcoensis,2,0
T32,Shallow,S. acapulcoensis,2,0
T33,Shallow,S. acapulcoensis,2,0
T34,Shallow,S. acapulcoensis,2,1
T35,Shallow,S. acapulcoensis,2,0
T36,Shallow,S. acapulcoensis,2,11
T1,Deep,S. acapulcoensis,3,0
T2,Deep,S. acapulcoensis,3,8
T3,Deep,S. acapulcoensis,3,8
T4,Deep,S. acapulcoensis,3,4
T5,Deep,S. acapulcoensis,3,11
T6,Deep,S. acapulcoensis,3,12
T7,Deep,S. acapulcoensis,3,12
T8,Deep,S. acapulcoensis,3,6
T9,Deep,S. acapulcoensis,3,15
T10,Deep,S. acapulcoensis,3,5
T11,Deep,S. acapulcoensis,3,3
T12,Deep,S. acapulcoensis,3,6
T13,Intermediate,S. acapulcoensis,3,0
T14,Intermediate,S. acapulcoensis,3,6
T15,Intermediate,S. acapulcoensis,3,10
T16,Intermediate,S. acapulcoensis,3,5
T17,Intermediate,S. acapulcoensis,3,4
T18,Intermediate,S. acapulcoensis,3,14
T19,Intermediate,S. acapulcoensis,3,7
T20,Intermediate,S. acapulcoensis,3,6
T21,Intermediate,S. acapulcoensis,3,13
T22,Intermediate,S. acapulcoensis,3,11
T23,Intermediate,S. acapulcoensis,3,6
T24,Intermediate,S. acapulcoensis,3,5
T25,Shallow,S. acapulcoensis,3,0
T26,Shallow,S. acapulcoensis,3,2
T27,Shallow,S. acapulcoensis,3,5
T28,Shallow,S. acapulcoensis,3,6
T29,Shallow,S. acapulcoensis,3,6
T30,Shallow,S. acapulcoensis,3,0
T31,Shallow,S. acapulcoensis,3,4
T32,Shallow,S. acapulcoensis,3,0
T33,Shallow,S. acapulcoensis,3,6
T34,Shallow,S. acapulcoensis,3,8
T35,Shallow,S. acapulcoensis,3,9
T36,Shallow,S. acapulcoensis,3,0
T1,Deep,S. flavilatus,1,0
T2,Deep,S. flavilatus,1,0
T3,Deep,S. flavilatus,1,0
T4,Deep,S. flavilatus,1,0
T5,Deep,S. flavilatus,1,0
T6,Deep,S. flavilatus,1,0
T7,Deep,S. flavilatus,1,0
T8,Deep,S. flavilatus,1,0
T9,Deep,S. flavilatus,1,0
T10,Deep,S. flavilatus,1,0
T11,Deep,S. flavilatus,1,0
T12,Deep,S. flavilatus,1,0
T13,Intermediate,S. flavilatus,1,2
T14,Intermediate,S. flavilatus,1,0
T15,Intermediate,S. flavilatus,1,0
T16,Intermediate,S. flavilatus,1,0
T17,Intermediate,S. flavilatus,1,0
T18,Intermediate,S. flavilatus,1,0
T19,Intermediate,S. flavilatus,1,0
T20,Intermediate,S. flavilatus,1,0
T21,Intermediate,S. flavilatus,1,0
T22,Intermediate,S. flavilatus,1,0
T23,Intermediate,S. flavilatus,1,0
T24,Intermediate,S. flavilatus,1,0
T25,Shallow,S. flavilatus,1,0
T26,Shallow,S. flavilatus,1,0
T27,Shallow,S. flavilatus,1,0
T28,Shallow,S. flavilatus,1,0
T29,Shallow,S. flavilatus,1,0
T30,Shallow,S. flavilatus,1,0
T31,Shallow,S. flavilatus,1,0
T32,Shallow,S. flavilatus,1,0
T33,Shallow,S. flavilatus,1,0
T34,Shallow,S. flavilatus,1,0
T35,Shallow,S. flavilatus,1,0
T36,Shallow,S. flavilatus,1,1
T1,Deep,S. flavilatus,2,2
T2,Deep,S. flavilatus,2,1
T3,Deep,S. flavilatus,2,0
T4,Deep,S. flavilatus,2,1
T5,Deep,S. flavilatus,2,0
T6,Deep,S. flavilatus,2,1
T7,Deep,S. flavilatus,2,0
T8,Deep,S. flavilatus,2,0
T9,Deep,S. flavilatus,2,0
T10,Deep,S. flavilatus,2,0
T11,Deep,S. flavilatus,2,0
T12,Deep,S. flavilatus,2,0
T13,Intermediate,S. flavilatus,2,2
T14,Intermediate,S. flavilatus,2,4
T15,Intermediate,S. flavilatus,2,0
T16,Intermediate,S. flavilatus,2,3
T17,Intermediate,S. flavilatus,2,1
T18,Intermediate,S. flavilatus,2,0
T19,Intermediate,S. flavilatus,2,0
T20,Intermediate,S. flavilatus,2,0
T21,Intermediate,S. flavilatus,2,0
T22,Intermediate,S. flavilatus,2,0
T23,Intermediate,S. flavilatus,2,0
T24,Intermediate,S. flavilatus,2,0
T25,Shallow,S. flavilatus,2,2
T26,Shallow,S. flavilatus,2,0
T27,Shallow,S. flavilatus,2,0
T28,Shallow,S. flavilatus,2,0
T29,Shallow,S. flavilatus,2,0
T30,Shallow,S. flavilatus,2,0
T31,Shallow,S. flavilatus,2,0
T32,Shallow,S. flavilatus,2,2
T33,Shallow,S. flavilatus,2,0
T34,Shallow,S. flavilatus,2,0
T35,Shallow,S. flavilatus,2,0
T36,Shallow,S. flavilatus,2,0
T1,Deep,S. flavilatus,3,0
T2,Deep,S. flavilatus,3,1
T3,Deep,S. flavilatus,3,0
T4,Deep,S. flavilatus,3,0
T5,Deep,S. flavilatus,3,0
T6,Deep,S. flavilatus,3,2
T7,Deep,S. flavilatus,3,0
T8,Deep,S. flavilatus,3,0
T9,Deep,S. flavilatus,3,0
T10,Deep,S. flavilatus,3,0
T11,Deep,S. flavilatus,3,1
T12,Deep,S. flavilatus,3,0
T13,Intermediate,S. flavilatus,3,0
T14,Intermediate,S. flavilatus,3,2
T15,Intermediate,S. flavilatus,3,2
T16,Intermediate,S. flavilatus,3,1
T17,Intermediate,S. flavilatus,3,0
T18,Intermediate,S. flavilatus,3,0
T19,Intermediate,S. flavilatus,3,0
T20,Intermediate,S. flavilatus,3,0
T21,Intermediate,S. flavilatus,3,0
T22,Intermediate,S. flavilatus,3,0
T23,Intermediate,S. flavilatus,3,0
T24,Intermediate,S. flavilatus,3,0
T25,Shallow,S. flavilatus,3,1
T26,Shallow,S. flavilatus,3,0
T27,Shallow,S. flavilatus,3,0
T28,Shallow,S. flavilatus,3,0
T29,Shallow,S. flavilatus,3,0
T30,Shallow,S. flavilatus,3,0
T31,Shallow,S. flavilatus,3,0
T32,Shallow,S. flavilatus,3,0
T33,Shallow,S. flavilatus,3,0
T34,Shallow,S. flavilatus,3,0
T35,Shallow,S. flavilatus,3,0
T36,Shallow,S. flavilatus,3,0
